Type,State,Population
Total:,Alabama,4995262.0
Urban:,Alabama,2914615.0
Rural,Alabama,2080647.0
Total:,Alaska,706024.0
Urban:,Alaska,420875.0
Rural,Alaska,285149.0
Total:,Arizona,6542410.0
Urban:,Arizona,5785659.0
Rural,Arizona,756751.0
Total:,Arkansas,3027488.0
Urban:,Arkansas,1657343.0
Rural,Arkansas,1370144.0
Total:,California,31464186.0
Urban:,California,29473782.0
Rural,California,1990404.0
Total:,Colorado,5089665.0
Urban:,Colorado,4229668.0
Rural,Colorado,859998.0
Total:,Connecticut,3422149.0
Urban:,Connecticut,3009644.0
Rural,Connecticut,412505.0
Total:,Delaware,933535.0
Urban:,Delaware,779955.0
Rural,Delaware,153580.0
Total:,District of Columbia,682454.0
Urban:,District of Columbia,682454.0
Rural,District of Columbia,0.0
Total:,Florida,20676034.0
Urban:,Florida,18837016.0
Rural,Florida,1839018.0
Total:,Georgia,9404242.0
Urban:,Georgia,6948804.0
Rural,Georgia,2455439.0
Total:,Hawaii,1194868.0
Urban:,Hawaii,1069574.0
Rural,Hawaii,125295.0
Total:,Idaho,1535931.0
Urban:,Idaho,1029172.0
Rural,Idaho,506759.0
Total:,Illinois,12182444.0
Urban:,Illinois,10701914.0
Rural,Illinois,1480531.0
Total:,Indiana,6429744.0
Urban:,Indiana,4705676.0
Rural,Indiana,1724068.0
Total:,Iowa,3073759.0
Urban:,Iowa,1951327.0
Rural,Iowa,1122432.0
Total:,Kansas,2836394.0
Urban:,Kansas,2072215.0
Rural,Kansas,764180.0
Total:,Kentucky,4432477.0
Urban:,Kentucky,2570319.0
Rural,Kentucky,1862158.0
Total:,Louisiana,4519456.0
Urban:,Louisiana,3301158.0
Rural,Louisiana,1218298.0
Total:,Maine,1660209.0
Urban:,Maine,577670.0
Rural,Maine,1082539.0
Total:,Maryland,5471272.0
Urban:,Maryland,4768158.0
Rural,Maryland,703115.0
Total:,Massachusetts,6458984.0
Urban:,Massachusetts,5902582.0
Rural,Massachusetts,556402.0
Total:,Michigan,10424136.0
Urban:,Michigan,7490323.0
Rural,Michigan,2933813.0
Total:,Minnesota,5398562.0
Urban:,Minnesota,3767577.0
Rural,Minnesota,1630985.0
Total:,Mississippi,2931854.0
Urban:,Mississippi,1440117.0
Rural,Mississippi,1491736.0
Total:,Missouri,6239277.0
Urban:,Missouri,4328131.0
Rural,Missouri,1911146.0
Total:,Montana,1110498.0
Urban:,Montana,579503.0
Rural,Montana,530994.0
Total:,Nebraska,1832624.0
Urban:,Nebraska,1297529.0
Rural,Nebraska,535095.0
Total:,Nevada,2699772.0
Urban:,Nevada,2524365.0
Rural,Nevada,175407.0
Total:,New Hampshire,1413934.0
Urban:,New Hampshire,791016.0
Rural,New Hampshire,622918.0
Total:,New Jersey,8173193.0
Urban:,New Jersey,7758144.0
Rural,New Jersey,415049.0
Total:,New Mexico,2073192.0
Urban:,New Mexico,1557144.0
Rural,New Mexico,516049.0
Total:,New York,18648637.0
Urban:,New York,15952308.0
Rural,New York,2696329.0
Total:,North Carolina,9953314.0
Urban:,North Carolina,6411586.0
Rural,North Carolina,3541729.0
Total:,North Dakota,730245.0
Urban:,North Dakota,418692.0
Rural,North Dakota,311553.0
Total:,Ohio,11793268.0
Urban:,Ohio,9370451.0
Rural,Ohio,2422818.0
Total:,Oklahoma,3828069.0
Urban:,Oklahoma,2509507.0
Rural,Oklahoma,1318562.0
Total:,Oregon,3853793.0
Urban:,Oregon,3055016.0
Rural,Oregon,798776.0
Total:,Pennsylvania,12804824.0
Urban:,Pennsylvania,9928996.0
Rural,Pennsylvania,2875828.0
Total:,Rhode Island,1065792.0
Urban:,Rhode Island,964116.0
Rural,Rhode Island,101676.0
Total:,South Carolina,4916671.0
Urban:,South Carolina,3273606.0
Rural,South Carolina,1643065.0
Total:,South Dakota,835907.0
Urban:,South Dakota,462256.0
Rural,South Dakota,373651.0
Total:,Tennessee,6467906.0
Urban:,Tennessee,4244473.0
Rural,Tennessee,2223433.0
Total:,Texas,22948103.0
Urban:,Texas,19044945.0
Rural,Texas,3903157.0
Total:,Utah,2253331.0
Urban:,Utah,1952527.0
Rural,Utah,300803.0
Total:,Vermont,741840.0
Urban:,Vermont,245090.0
Rural,Vermont,496749.0
Total:,Virginia,7739360.0
Urban:,Virginia,5653699.0
Rural,Virginia,2085661.0
Total:,Washington,6637057.0
Urban:,Washington,5473581.0
Rural,Washington,1163476.0
Total:,West Virginia,2028409.0
Urban:,West Virginia,976219.0
Rural,West Virginia,1052190.0
Total:,Wisconsin,6036023.0
Urban:,Wisconsin,4010273.0
Rural,Wisconsin,2025750.0
Total:,Wyoming,602296.0
Urban:,Wyoming,374610.0
Rural,Wyoming,227686.0
Total:,Puerto Rico,3764976.0
Urban:,Puerto Rico,3518549.0
Rural,Puerto Rico,246427.0
